,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,222.112,119.1,73.58,31
4,309.656,150.00000000000003,114.03999999999998,33
5,357.5199999999999,168.79999999999998,134.8,32
6,331.6960000000001,168.4,116.64000000000001,26
7,450.55999999999995,240.7,149.89999999999998,26
8,696.088,367.9000000000001,234.42000000000004,34
9,677.0560000000003,358.50000000000006,227.54,28
10,750.9200000000001,392.09999999999997,256.29999999999995,27
11,936.824,490.0,319.1599999999999,29
12,942.3599999999998,500.1000000000001,315.90000000000003,25
13,1185.3760000000002,631.1999999999999,395.8399999999999,28
14,1332.936,711.6999999999999,443.7400000000001,28
15,1661.7999999999995,884.1,555.5,31
16,1738.544,939.1999999999999,570.96,29
17,1737.6000000000001,929.8,577.0,26
18,2001.6239999999996,1071.1000000000001,664.6600000000001,27
19,2174.7839999999997,1166.0,720.56,27
