,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,248.20000000000002,80.19999999999999,120.00000000000003,35
1,283.96,97.19999999999999,133.39999999999998,35
2,288.112,113.70000000000002,124.57999999999998,34
3,304.5999999999999,127.5,126.50000000000001,30
4,384.63999999999993,164.0,157.6,32
5,479.3039999999999,207.89999999999995,193.86000000000004,33
6,537.672,261.19999999999993,197.48000000000002,33
7,671.992,317.4,253.27999999999992,34
8,779.2799999999999,377.90000000000003,286.7,34
9,807.5600000000002,396.1,293.9,30
10,735.2320000000001,359.5,268.3799999999999,24
11,901.944,468.0000000000001,309.96,26
12,879.4159999999999,449.70000000000005,306.93999999999994,22
13,1183.2,603.6,414.0,26
14,1149.8400000000001,601.6,391.59999999999997,23
15,1238.1760000000002,647.6,421.84000000000003,22
16,1637.9840000000002,850.4000000000001,562.56,26
17,1993.232,1050.5,673.3799999999998,29
18,2157.0,1132.9,731.4999999999998,28
19,2242.9599999999996,1187.5,753.9,27
