,total_returns,total_mMTC_services_City,total_URLLC_services_City
0,21.35616,67.2,133.60000000000002
1,114.35961599999996,561.1000000000001,571.6599999999999
2,213.369408,1138.6,1001.0799999999998
3,245.45539199999996,1329.0,1137.92
4,323.11977599999994,1824.0000000000002,1444.7600000000002
5,353.092992,1965.0,1598.92
6,426.10041599999994,2468.4,1860.1600000000003
7,483.34272,2834.1000000000004,2085.7000000000003
8,525.0456959999999,3170.6000000000004,2199.96
9,631.8553919999999,3825.5,2640.4200000000005
10,744.0948479999998,4512.700000000001,3103.98
11,844.1926079999998,5252.7,3426.5800000000004
12,880.627776,5575.6,3505.760000000001
13,1058.9631359999998,6629.599999999999,4269.360000000001
14,1239.1774080000002,7782.799999999999,4978.08
15,1435.7582399999997,9046.7,5746.9
16,1361.3375999999996,8587.599999999999,5442.0
17,1663.97616,10549.5,6614.0999999999985
18,1644.5526719999998,10445.5,6523.219999999999
19,1658.11296,10503.5,6597.099999999999
