,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,597.3519999999999,378.20000000000005,339.40000000000003
1,648.2,407.9999999999999,370.0
2,780.9648,498.6,440.7599999999999
3,871.556,602.9000000000001,458.70000000000005
4,987.3639999999998,694.0,511.80000000000007
5,1179.6456,830.8999999999999,610.22
6,1511.3111999999996,1069.8999999999999,777.9400000000003
7,1640.1616,1184.0,827.9199999999998
8,1810.1439999999998,1323.4,901.8000000000002
9,2218.1320000000005,1627.4999999999998,1100.9
10,2445.0944,1804.9,1205.78
11,2605.405599999999,1950.0000000000005,1265.72
12,3277.6128,2466.3,1582.8600000000004
13,3498.348,2654.6000000000004,1673.6000000000004
14,4170.376,3142.0,2011.1999999999998
15,3988.6335999999997,3039.7000000000007,1898.8199999999997
16,4599.280000000001,3519.8000000000006,2179.0
17,5065.480000000001,3863.100000000001,2409.4999999999995
18,5215.308,3967.8,2487.6
19,5460.587999999999,4191.5,2578.0999999999995
