,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,44.492,16.8,33.400000000000006
1,260.7919999999999,153.60000000000002,156.39999999999998
2,359.2568,223.89999999999998,206.65999999999994
3,415.8672,265.59999999999997,234.64000000000001
4,568.0863999999999,373.1,313.18
5,608.5968,389.0,343.1600000000001
6,720.9215999999999,486.1,388.4200000000001
7,818.1375999999999,561.0000000000001,434.12
8,882.8904,632.7,448.98
9,1052.8727999999999,757.4000000000001,533.3600000000001
10,1256.9144,903.4000000000001,637.2800000000001
11,1397.7711999999997,1038.6,684.44
12,1441.9776,1090.3000000000002,692.6200000000001
13,1755.9303999999997,1305.9,858.9800000000001
14,2031.2152,1521.0,986.2399999999999
15,2558.9592,1923.1,1237.54
16,2252.1911999999993,1694.9999999999998,1087.44
17,2890.1823999999997,2186.5,1387.3799999999997
18,2916.3567999999996,2219.3,1390.6599999999999
19,2740.9199999999996,2071.7999999999997,1317.0
