,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,63.56,16.8,33.400000000000006,10
1,243.74399999999994,100.30000000000004,102.45999999999997,31
2,302.99199999999996,124.1,127.77999999999994,35
3,301.896,129.49999999999997,123.13999999999999,30
4,402.51199999999994,184.70000000000002,155.58000000000007,32
5,415.384,175.20000000000002,171.56000000000006,28
6,588.96,270.6,227.4000000000001,34
7,575.5759999999998,269.20000000000005,218.83999999999995,29
8,673.424,341.4000000000001,237.16,29
9,838.816,413.3000000000001,303.94000000000005,31
10,941.952,465.7,340.18,30
11,959.5039999999999,489.2999999999999,335.86,27
12,1075.464,566.9,363.26000000000005,27
13,1406.928,731.4,482.52000000000015,31
14,1470.4960000000003,769.5999999999999,500.6399999999999,29
15,1780.216,923.5,611.94,31
16,1539.2319999999997,800.8999999999997,527.3800000000001,24
17,2065.8879999999995,1096.5,692.4199999999998,30
18,1989.408,1052.4999999999998,669.2199999999998,26
19,2013.712,1061.6,680.08,24
