,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,178.81919999999997,97.20000000000002,113.04000000000002
1,165.928,96.19999999999999,100.6
2,243.7288,140.9,148.05999999999995
3,231.16799999999998,152.3,127.10000000000004
4,252.05599999999998,167.3,137.7
5,267.12000000000006,172.99999999999997,149.0
6,418.03439999999983,280.4,226.28000000000014
7,392.80080000000004,268.59999999999997,208.95999999999992
8,475.244,338.3,243.30000000000004
9,582.5680000000001,413.5,299.1
10,588.4032,415.9,303.34
11,725.9111999999999,521.9000000000001,367.94000000000005
12,851.0319999999999,620.2,425.40000000000003
13,1017.8280000000001,761.6,494.60000000000014
14,1156.9319999999998,844.4,577.3999999999999
15,1054.8496,788.0000000000002,513.52
16,1255.5144000000003,933.6,614.28
17,1415.5064000000002,1062.2000000000003,685.6799999999998
18,1234.016,924.6999999999998,598.6999999999999
19,1181.292,905.1,558.9
