,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,205.792,108.10000000000001,69.77999999999999,34
1,218.94400000000005,109.79999999999995,77.96,31
2,269.112,133.20000000000005,97.08000000000001,34
3,331.68,166.9,117.7,33
4,379.0399999999999,202.5,126.1,32
5,375.896,202.79999999999995,123.63999999999999,27
6,562.24,301.0,186.6,35
7,588.7679999999999,309.99999999999994,199.11999999999998,31
8,607.4399999999998,328.70000000000005,199.10000000000002,27
9,810.6800000000002,425.4,275.2,31
10,831.176,449.90000000000003,272.34,27
11,797.1119999999999,426.0000000000001,265.08,23
12,1103.904,601.5,358.86,28
13,1252.1600000000005,673.4000000000001,413.40000000000003,28
14,1414.7600000000002,754.8,471.3999999999999,28
15,1401.1200000000001,763.7000000000002,455.29999999999995,25
16,1801.2560000000005,980.8000000000002,586.0400000000001,29
17,1723.72,930.2000000000002,566.8,25
18,1816.5200000000002,982.4,595.8000000000001,24
19,1922.2799999999995,1048.4,624.2,23
