,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,103.024,55.2,34.160000000000004,12
4,236.3439999999999,103.4,94.95999999999997,30
5,327.952,168.09999999999994,114.17999999999995,32
6,313.504,170.2,102.35999999999996,26
7,515.8,268.69999999999993,176.50000000000003,33
8,600.2959999999999,311.7000000000001,206.1399999999999,31
9,689.3279999999999,369.40000000000003,228.52000000000004,30
10,678.5759999999999,352.5999999999999,232.84,26
11,768.168,408.9000000000002,256.61999999999995,25
12,1162.2399999999998,621.7,386.10000000000014,32
13,993.4960000000001,532.7,329.14,24
14,1312.52,703.1,435.2999999999999,28
15,1416.6399999999996,759.9000000000003,469.1,27
16,1784.9920000000002,974.0000000000001,579.2799999999999,30
17,1900.352,1016.7000000000003,631.1800000000001,29
18,1805.048,977.1999999999999,591.3200000000002,25
19,1991.048,1075.7,653.8199999999999,25
