,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,193.69600000000003,101.10000000000004,66.13999999999999,32
1,219.92800000000003,110.69999999999996,78.02,32
2,256.048,128.20000000000002,91.32,31
3,311.68000000000006,160.20000000000002,108.20000000000002,32
4,349.84000000000003,182.4,119.59999999999998,30
5,413.4080000000001,199.5999999999999,152.72000000000003,31
6,404.26399999999995,214.19999999999996,135.76,26
7,604.576,328.2999999999999,197.33999999999997,32
8,679.0800000000002,358.2,229.20000000000005,31
9,721.6000000000001,382.80000000000007,241.99999999999994,28
10,783.808,417.3999999999999,261.7199999999999,26
11,910.9679999999998,490.80000000000024,300.1200000000001,27
12,1178.9200000000003,638.8000000000003,385.80000000000007,30
13,1150.64,632.5,370.1000000000001,26
14,1443.3600000000001,786.2,469.39999999999986,29
15,1621.472,878.1000000000003,530.9799999999999,29
16,1492.856,814.5000000000002,484.5400000000001,24
17,1790.4479999999996,968.9000000000004,586.8199999999998,26
18,1654.8000000000002,901.6000000000001,538.0,22
19,2247.6799999999994,1221.2,733.2000000000003,27
