,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,44.492,16.8,33.400000000000006
1,170.62079999999995,100.30000000000004,102.45999999999997
2,212.09439999999995,124.1,127.77999999999994
3,211.3272,129.49999999999997,123.13999999999999
4,281.75839999999994,184.70000000000002,155.58000000000007
5,290.7688,175.20000000000002,171.56000000000006
6,412.272,270.6,227.4000000000001
7,402.90319999999986,269.20000000000005,218.83999999999995
8,471.3967999999999,341.4000000000001,237.16
9,587.1712,413.3000000000001,303.94000000000005
10,659.3664,465.7,340.18
11,671.6527999999998,489.2999999999999,335.86
12,752.8247999999999,566.9,363.26000000000005
13,984.8496,731.4,482.52000000000015
14,1029.3472000000002,769.5999999999999,500.6399999999999
15,1246.1511999999998,923.5,611.94
16,1077.4623999999997,800.8999999999997,527.3800000000001
17,1446.1215999999995,1096.5,692.4199999999998
18,1392.5855999999999,1052.4999999999998,669.2199999999998
19,1409.5983999999999,1061.6,680.08
