,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,237.856,111.09999999999997,90.53999999999999,34
3,268.14399999999995,117.00000000000004,107.96000000000004,29
4,384.0,178.9,146.5,35
5,440.29599999999994,218.19999999999996,158.64,34
6,461.47999999999996,221.80000000000004,171.19999999999996,29
7,571.7440000000001,283.4,205.96,31
8,753.8399999999999,370.79999999999984,273.59999999999997,35
9,748.6239999999999,387.89999999999986,257.66,29
10,984.3760000000001,512.1000000000001,337.34,34
11,1009.2799999999999,521.8000000000001,348.2,30
12,1056.248,552.5000000000001,359.82000000000005,27
13,1009.248,534.9,338.82,23
14,1432.544,754.3,484.4600000000001,29
15,1376.4399999999998,727.4000000000001,463.5999999999998,25
16,1659.8400000000001,865.8999999999997,567.1,27
17,1436.664,769.2000000000002,476.76000000000016,21
18,2030.6719999999998,1078.6999999999998,679.9800000000001,27
19,2239.672,1185.5000000000002,752.9800000000001,27
