,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,314.7423999999999,183.10000000000002,190.38000000000002
1,326.2056,191.29999999999995,196.22
2,407.4896,244.7,241.01999999999992
3,428.0079999999999,290.00000000000006,229.60000000000002
4,509.768,337.50000000000006,279.1
5,602.7336,409.0999999999999,322.82000000000005
6,782.9639999999997,537.1,415.3000000000002
7,781.3792,543.5999999999999,409.03999999999996
8,956.0039999999999,687.7,484.30000000000007
9,1157.0440000000003,834.8999999999999,584.3
10,1153.9584,829.4000000000001,585.08
11,1412.2863999999997,1045.0000000000002,694.6800000000001
12,1711.6735999999996,1269.5000000000002,839.8200000000002
13,1725.9479999999999,1294.4,836.6000000000001
14,2063.432,1528.3,1013.8999999999999
15,1869.7111999999997,1412.5000000000005,898.9399999999999
16,2211.916,1669.3000000000002,1064.6999999999998
17,2706.6536000000006,2056.0000000000005,1293.3199999999997
18,2564.044,1928.6,1238.7999999999997
19,2824.892,2156.2,1342.3999999999996
