,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,235.19200000000004,121.39999999999995,81.27999999999999,33
3,284.5519999999999,145.00000000000003,99.68000000000002,32
4,329.656,177.00000000000003,109.03999999999999,31
5,411.128,222.79999999999998,134.51999999999995,32
6,464.20000000000005,253.49999999999997,150.5,30
7,562.64,300.69999999999993,187.10000000000002,30
8,560.5760000000001,290.6000000000001,192.84000000000003,26
9,739.944,392.09999999999997,248.45999999999998,29
10,853.0159999999998,452.70000000000016,285.93999999999994,29
11,1039.6,558.0,343.99999999999994,31
12,1075.0720000000001,583.0000000000001,351.48,28
13,1295.4,703.2,423.00000000000006,30
14,1667.5439999999999,895.4999999999999,551.4600000000002,34
15,1489.808,808.4000000000001,486.7199999999999,27
16,1765.28,955.8,578.2,29
17,1749.3440000000003,952.8,568.96,26
18,1808.7040000000002,966.8,601.3600000000001,24
19,2046.5199999999998,1110.1999999999998,668.8,25
