,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,296.17600000000004,110.89999999999996,132.34000000000003,33
4,321.992,140.99999999999997,129.27999999999997,31
5,376.88,156.79999999999995,157.19999999999996,30
6,513.312,222.70000000000002,207.57999999999998,32
7,634.08,294.29999999999995,242.70000000000002,35
8,625.1680000000001,295.30000000000007,235.61999999999998,29
9,769.4399999999999,373.8000000000001,282.59999999999997,30
10,953.0399999999998,471.3,344.0999999999999,32
11,988.9200000000001,499.9000000000001,349.29999999999984,30
12,1128.6000000000001,562.3,404.49999999999983,29
13,1275.088,647.3,448.4199999999999,29
14,1391.9759999999997,721.5999999999999,478.8400000000001,28
15,1131.7599999999998,599.1999999999999,380.40000000000003,21
16,1599.616,841.6,541.4399999999999,26
17,1486.48,776.4000000000001,507.20000000000016,22
18,1669.9039999999998,887.4999999999999,558.8599999999999,22
19,2248.984,1169.4999999999998,771.06,27
