,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,194.17599999999996,85.9,77.34,32
1,228.96800000000005,95.09999999999998,95.62,32
2,233.944,103.8,92.96,28
3,281.2,137.70000000000005,102.5,31
4,368.16,170.20000000000005,141.4,32
5,479.448,236.09999999999997,173.82000000000002,36
6,521.328,256.70000000000005,189.02000000000004,32
7,555.112,275.0,200.08,29
8,686.8,349.4,241.0,31
9,820.6800000000002,421.3999999999999,285.2,31
10,807.9360000000001,413.50000000000006,281.74000000000007,27
11,980.5359999999998,523.1000000000001,326.73999999999995,29
12,1229.4879999999998,649.3000000000002,414.4200000000001,31
13,1011.5999999999999,532.8000000000001,342.0,23
14,1295.0,683.9,436.49999999999994,26
15,1164.0879999999997,624.5000000000001,385.41999999999996,21
16,1366.2880000000002,735.7,450.41999999999996,22
17,1844.4960000000005,993.8000000000003,607.6399999999999,27
18,1900.0400000000002,1003.9,640.0999999999999,25
19,2348.0000000000005,1251.1,783.4999999999998,28
