,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,208.784,89.00000000000003,85.56,33
1,223.56000000000003,108.89999999999999,81.9,30
2,294.4,139.69999999999996,110.5,35
3,363.03999999999996,161.30000000000004,144.10000000000002,37
4,394.0400000000001,181.10000000000002,152.10000000000002,34
5,452.672,231.5,157.98000000000002,34
6,476.13599999999997,237.09999999999994,170.74000000000007,29
7,632.2159999999999,311.7,228.94,32
8,616.8800000000001,327.5,206.70000000000002,28
9,777.9200000000001,414.20000000000005,259.8,30
10,909.5200000000001,472.2999999999999,312.30000000000007,30
11,685.76,358.30000000000007,233.89999999999998,20
12,901.4239999999999,486.1000000000001,296.65999999999997,23
13,1112.16,590.1000000000001,372.9000000000001,25
14,1530.0000000000005,808.9999999999999,515.0,30
15,1470.3279999999997,774.5000000000003,497.02,26
16,1812.1360000000004,946.6000000000001,618.2399999999999,29
17,2141.248,1130.0000000000005,722.3199999999998,31
18,1812.6399999999999,960.5999999999998,608.5999999999998,24
19,2092.32,1128.7,688.3000000000001,25
