,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,197.936,86.99999999999999,79.24000000000001,32
1,241.048,106.9,95.82000000000001,32
2,264.42400000000004,120.7,102.66,33
3,301.96000000000004,146.0,111.4,32
4,303.23999999999995,154.0,106.60000000000001,27
5,448.2640000000001,219.0,163.76,33
6,478.25599999999986,231.79999999999993,176.04000000000002,29
7,638.0640000000001,330.40000000000003,219.7599999999999,33
8,612.76,307.00000000000006,218.4000000000001,26
9,705.1600000000001,367.2,241.39999999999998,26
10,1013.3040000000002,525.6,348.35999999999996,33
11,907.3439999999997,479.00000000000006,305.96,26
12,1133.1519999999998,595.3000000000001,384.18,29
13,1279.84,686.8,423.6,29
14,1595.1600000000005,858.9000000000001,525.9,32
15,1625.9119999999998,863.5000000000001,544.5799999999999,29
16,1609.2640000000006,869.7000000000004,528.26,26
17,1646.0320000000002,876.9000000000001,549.38,24
18,1971.0000000000002,1056.8000000000002,653.0,26
19,1842.9999999999998,986.9,611.4999999999999,22
