,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,227.064,100.0,90.75999999999999,31
3,268.8,112.70000000000002,111.50000000000001,30
4,350.1840000000001,166.00000000000009,131.56,34
5,357.5759999999999,177.19999999999993,128.84,29
6,465.59999999999997,232.5,166.5,31
7,546.92,280.49999999999994,190.30000000000004,30
8,672.152,349.8999999999999,230.18,32
9,691.0720000000001,355.7999999999999,239.48,27
10,823.5120000000001,431.4,280.08,28
11,1020.76,531.6,349.4,30
12,1078.1520000000003,571.8000000000002,361.68,28
13,1083.56,574.0999999999999,363.9,25
14,1241.32,659.1999999999998,415.8,25
15,1365.56,737.1000000000003,448.9,25
16,1484.3600000000004,790.0999999999999,495.9,24
17,1858.1680000000001,987.9000000000002,621.62,27
18,1472.52,801.5,479.29999999999995,20
19,1885.8879999999995,1006.0999999999998,628.42,23
