,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0
4,298.47999999999996,116.2,130.2,34
5,357.54400000000004,146.2,150.95999999999992,33
6,464.41599999999994,199.89999999999998,188.93999999999997,34
7,554.3920000000002,248.09999999999994,218.77999999999997,34
8,553.7599999999999,263.40000000000003,207.39999999999998,29
9,702.7999999999998,335.99999999999994,262.0,30
10,847.5679999999999,406.4,315.12,31
11,979.3840000000001,486.50000000000006,352.06,31
12,985.8559999999999,499.30000000000007,347.5399999999999,27
13,825.8800000000003,416.8,292.2,20
14,978.1600000000001,498.79999999999995,342.4,21
15,1216.7439999999997,634.4,415.96000000000004,23
16,1790.84,933.2,612.6,30
17,1783.0960000000002,928.9000000000003,610.14,27
18,1959.4400000000003,1024.1,668.1000000000001,27
19,2557.7999999999993,1351.0000000000002,862.0,32
