,total_returns,total_mMTC_services_City,total_URLLC_services_City
0,185.96524799999995,949.7000000000002,902.98
1,194.376,996.5999999999997,941.0000000000001
2,243.36614399999996,1262.1000000000001,1167.9399999999996
3,262.90992,1502.1000000000001,1162.7000000000003
4,302.9140799999999,1738.8,1333.8000000000002
5,349.84319999999997,2024.8999999999996,1528.5
6,466.66099199999985,2725.5,2021.420000000001
7,480.9430079999999,2849.7999999999997,2054.08
8,554.7124799999999,3365.8,2312.8000000000006
9,681.8716800000002,4136.199999999999,2843.7999999999997
10,710.788512,4329.5,2951.6200000000003
11,805.6641599999997,4987.9000000000015,3288.1
12,998.9669759999999,6227.0,4046.7600000000007
13,1061.3500800000002,6678.4000000000015,4254.800000000001
14,1253.34048,7797.799999999999,5087.799999999999
15,1171.642752,7416.4000000000015,4665.52
16,1384.7406720000001,8772.800000000001,5508.719999999999
17,1572.1077120000002,9967.500000000004,6248.619999999999
18,1541.87712,9732.099999999999,6159.7
19,1636.4711999999997,10457.4,6445.999999999998
