,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,184.84000000000003,75.50000000000003,78.10000000000001,30
1,255.20000000000007,109.59999999999997,103.99999999999999,35
2,280.99200000000013,135.00000000000003,104.28,34
3,297.8,136.80000000000004,115.00000000000004,29
4,351.48000000000013,174.10000000000005,126.69999999999997,31
5,400.7200000000001,211.29999999999998,135.29999999999998,30
6,512.1039999999999,258.90000000000003,180.86000000000007,31
7,546.3839999999999,273.99999999999994,194.55999999999997,28
8,724.4000000000002,368.8,253.99999999999997,32
9,793.2800000000002,409.4,274.20000000000005,31
10,897.96,466.19999999999993,308.40000000000003,30
11,1250.1039999999996,653.2000000000002,426.3600000000001,36
12,1252.9360000000001,661.1000000000001,422.7400000000001,32
13,1300.7999999999997,683.4,441.00000000000017,29
14,1347.9599999999998,717.4,450.39999999999986,27
15,1498.8160000000003,803.1000000000003,496.9399999999999,27
16,1497.0159999999998,797.1000000000001,499.9400000000001,24
17,1729.7599999999998,925.6000000000005,574.3999999999999,25
18,1664.0800000000002,885.4,556.1999999999999,22
19,1489.3199999999997,804.2999999999998,489.29999999999984,18
