,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,255.45599999999996,97.20000000000002,113.04000000000002,32
1,237.04,96.19999999999999,100.6,30
2,348.184,140.9,148.05999999999995,38
3,330.24,152.3,127.10000000000004,32
4,360.08,167.3,137.7,30
5,381.6000000000001,172.99999999999997,149.0,25
6,597.1919999999998,280.4,226.28000000000014,33
7,561.1440000000001,268.59999999999997,208.95999999999992,28
8,678.9200000000001,338.3,243.30000000000004,29
9,832.2400000000001,413.5,299.1,31
10,840.576,415.9,303.34,27
11,1037.0159999999998,521.9000000000001,367.94000000000005,29
12,1215.76,620.2,425.40000000000003,30
13,1454.0400000000002,761.6,494.60000000000014,32
14,1652.7599999999998,844.4,577.3999999999999,32
15,1506.928,788.0000000000002,513.52,26
16,1793.5920000000003,933.6,614.28,28
17,2022.1520000000003,1062.2000000000003,685.6799999999998,29
18,1762.88,924.6999999999998,598.6999999999999,23
19,1687.56,905.1,558.9,20
