,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,458.7967999999999,291.20000000000005,260.16
1,479.4664,301.0999999999999,274.18
2,595.8679999999999,377.90000000000003,338.0999999999999
3,660.184,456.9000000000001,347.3
4,775.0959999999999,540.0,405.20000000000005
5,865.8608,611.8999999999999,446.46000000000004
6,1176.5319999999997,838.1,601.9000000000002
7,1193.5167999999999,853.5999999999999,608.16
8,1381.2119999999998,1016.4000000000001,683.4000000000001
9,1724.5200000000004,1260.2999999999997,859.5
10,1735.7816,1279.3000000000002,857.4200000000001
11,1970.2647999999995,1471.0000000000005,959.76
12,2484.4064,1871.0000000000002,1198.6800000000003
13,2602.46,1967.8000000000002,1250.0000000000002
14,3053.764,2283.1,1485.2999999999997
15,2850.4952,2176.2000000000007,1354.2399999999998
16,3472.7952000000005,2650.1000000000004,1650.7399999999998
17,3913.257600000001,2986.2000000000007,1860.1199999999997
18,3835.608,2911.0,1834.6
19,4170.487999999999,3204.6,1966.5999999999997
