,total_returns,total_mMTC_services_SI,total_URLLC_services_SI,number_of_active_consumers
0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0
3,227.448,100.29999999999997,90.82000000000001,29
4,313.76800000000003,142.79999999999998,122.11999999999999,34
5,345.24,172.20000000000005,123.59999999999998,31
6,428.19999999999993,214.7,152.49999999999997,30
7,429.4,215.90000000000003,152.5,24
8,666.824,343.20000000000016,231.16000000000003,32
9,711.2399999999998,372.3000000000001,242.1,30
10,640.08,333.90000000000003,218.69999999999993,23
11,996.8960000000001,529.0999999999999,334.1399999999998,31
12,1012.12,530.1,344.2999999999999,27
13,963.656,508.6000000000002,325.03999999999996,23
14,1307.384,686.4000000000001,443.56000000000006,27
15,1402.2799999999997,738.4,474.2000000000001,26
16,1676.8080000000002,890.4000000000001,561.7199999999999,28
17,1740.0399999999997,937.6999999999999,573.1,26
18,2066.536,1107.8999999999999,684.7399999999999,28
19,1701.6319999999998,907.9999999999998,566.88,21
