,total_returns,total_mMTC_services_ISP,total_URLLC_services_ISP
0,44.492,16.8,33.400000000000006
1,260.7919999999999,153.60000000000002,156.39999999999998
2,523.8912,345.29999999999995,287.93999999999994
3,615.0536,410.6,334.32000000000005
4,798.8455999999999,550.1,422.22
5,896.3864,611.8,477.68000000000006
6,1045.8616,739.6,538.9200000000001
7,1211.9856,861.7,621.22
8,1275.2936,923.3000000000002,641.82
9,1570.8336,1149.5,781.8200000000002
10,1854.0255999999997,1356.1000000000004,923.22
11,2125.4911999999995,1596.6,1028.44
12,2194.5280000000002,1673.3000000000002,1044.1000000000001
13,2662.7104,2009.1000000000001,1281.9800000000002
14,3198.496,2416.5,1537.7
15,3601.8247999999994,2731.5,1724.2599999999998
16,3487.887199999999,2650.7999999999997,1665.64
17,4114.7232,3139.3,1956.3399999999997
18,4182.4496,3186.1000000000004,1992.02
19,4173.4839999999995,3181.9999999999995,1985.8
